AcresBurned,Active,AdminUnit,AirTankers,ArchiveYear,CanonicalUrl,ControlStatement,County,CountyIds,CrewsInvolved,Dozers,Engines,Extinguished,Fatalities,Featured,Final,FuelType,Helicopters,Injuries,Latitude,Location,Longitude,MajorIncident,Name,PercentContained,PersonnelInvolved,Public,SearchDescription,Started,StructuresDamaged,StructuresDestroyed,StructuresEvacuated,StructuresThreatened,WaterTenders,resource_intensity,suppression_power,containment_efficiency
580.0,False,CAL FIRE Shasta-Trinity Unit,2.0,1,/incidents/2014/8/24/oregon-fire/,Weaver Bally Rd open to normal traffic flow,53,53,82.0,2.0,3.0,2014-08-28T19:00:00Z,3.0,False,True,Grass,2.0,2.0,40.7412,"off Hwy 299 at Oregon Mountain Summit, near Weaverville",-122.946,True,Oregon Fire,100.0,46.0,True,"The Oregon Fire started on August 28 and burned 580 acres off Hwy 299 at Oregon Mountain Summit, near Weaverville in Trinity County.",2014-08-24T16:36:00Z,6.0,1.0,0.0,45.0,4.0,11.5,4.0,2.127659574468085
516.0,False,CAL FIRE Siskiyou Unit,2.0,1,/incidents/2014/9/15/boles-fire/,All road closures have been lifted.,45,47,14.0,2.0,10.0,2014-10-11T18:50:00Z,3.0,False,True,Grass,2.0,1.0,41.42384,City of Weed,-122.37432,True,Boles Fire,100.0,453.0,True,"The Boles Fire started on September 15, 2014 and burned 479 acres in and around the City of Weed in Siskiyou County. ",2014-09-15T13:38:00Z,7.0,165.0,0.0,1100.0,4.0,41.18181818181818,4.0,0.22026431718061673
487.0,False,CAL FIRE Tuolumne-Calaveras Unit,2.0,1,/incidents/2014/6/4/59-fire/,All road closures have been lifted.,55,55,6.0,2.0,11.0,2014-06-05T20:00:00Z,3.0,False,True,Grass,2.0,3.0,37.76617,"near Bonds Flat Rd & La Grange Rd (J59), west of Don Pedro Reservoir",-120.45087,False,59 Fire,100.0,151.5,True,"The 59 Fire started on June 4, 2014 and burned 487 acres near Bonds Flat Rd & La Grange Rd (J59), west of Don Pedro Reservoir in Tuolumne County.",2014-06-04T11:45:00Z,6.0,7.0,0.0,45.0,4.0,12.625,4.0,0.6557377049180327
459.0,False,CAL FIRE Nevada-Yuba-Placer Unit,2.0,1,/incidents/2014/10/8/applegate-fire/,All road closures have been lifted.,30,31,6.0,2.0,11.0,2014-10-15T07:50:00Z,3.0,False,True,Grass,2.0,2.0,0.0,on the eastside of Interstate 80 in the Applegate area,0.0,True,Applegate Fire,100.0,151.5,True,"The Applegate Fire started on October 8, 2014 and burned 459 acres on the eastside of Interstate 80 in the Applegate area in Placer County.",2014-10-08T13:33:00Z,6.0,10.0,0.0,45.0,4.0,12.625,4.0,0.6557377049180327
403.0,False,CAL FIRE Mendocino Unit,2.0,1,/incidents/2014/9/13/black-fire/,Black Bart Trail East,21,23,6.0,2.0,1.0,2014-09-17T16:10:00Z,3.0,False,True,Grass,2.0,3.0,0.0,"Black Bart Trail, North of Lake Mendocino",0.0,True,Black Fire,100.0,15.0,True,"The Black Fire started on September 13 and burned 403 acres near the Black Bart Trail, north of Lake Mendocino in Mendocino County.",2014-09-13T15:48:00Z,6.0,11.0,0.0,45.0,4.0,7.5,4.0,6.25
400.0,False,CAL FIRE San Benito-Monterey Unit,2.0,1,/incidents/2014/3/19/encinal-fire/,All road closures have been lifted.,26,27,6.0,2.0,11.0,2014-03-21T18:00:00Z,3.0,False,True,Grass,2.0,3.0,36.6313,"Off Encinal Rd, 8 miles southeast of Salinas",-121.4819,True,Encinal Fire,100.0,151.5,True,"The Encinal Fire started on March 19, 2014 and burned 400 acres off Encinal Rd, 8 miles southeast of Salinas in Monterey County.",2014-03-19T16:45:00Z,6.0,7.0,0.0,45.0,4.0,12.625,4.0,0.6557377049180327
389.0,False,CAL FIRE Butte Unit,4.0,1,/incidents/2014/7/28/web-fire/,All road closures have been lifted.,3,4,29.0,5.0,46.0,2014-08-01T17:30:00Z,3.0,False,True,Grass,1.0,4.0,0.0,Web Hollow & Big Chico Creek near Forest Ranch,0.0,True,Web Fire,100.0,835.0,True,"The Web Fire started on July 28, 2014  and burned 389 acres Web Hollow & Big Chico Creek near Forest Ranch in Butte County. ",2014-07-28T13:11:00Z,6.0,7.0,0.0,45.0,13.0,17.76595744680851,6.0,0.11961722488038277
380.0,False,CAL FIRE San Diego Unit,2.0,1,/incidents/2014/5/14/highway-fire/,Interstate 15 is closed 3 1/2 miles south of Hwy 76 to .7 miles north of Hwy 76,36,37,6.0,2.0,11.0,2014-05-15T18:30:00Z,3.0,False,True,Grass,2.0,3.0,33.312,off Old Hwy 395 and I-15 in the Deer Springs area ,-117.162,True,Highway Fire,100.0,151.5,True,"The Highway Fire started on May 14, 2014 and burned 380 acres off Old Highway 395 and I-15 in the Deer Springs Area in San Diego County.",2014-05-14T13:00:00Z,6.0,7.0,0.0,45.0,4.0,12.625,4.0,0.6557377049180327
350.0,False,CAL FIRE / Riverside County Fire Department,2.0,1,/incidents/2014/3/15/pierce-fire/,All road closures have been lifted.,32,33,6.0,2.0,11.0,2014-03-16T08:30:00Z,3.0,False,True,Grass,2.0,3.0,0.0,off Ave 66 and Pierce St in Thermal,0.0,False,Pierce Fire,100.0,151.5,True,"The Pierce Fire started on March 15, 2014 and burned off Ave 66 and Pierce St in Thermal in Riverside County.",2014-03-15T16:37:00Z,6.0,7.0,0.0,45.0,4.0,12.625,4.0,0.6557377049180327
333.0,False,CAL FIRE Humboldt Del-Norte Unit,2.0,1,/incidents/2014/1/4/red-fire/,All road closures have been lifted.,11,12,6.0,2.0,11.0,2014-01-08T19:15:00Z,3.0,False,True,Grass,2.0,3.0,40.884415,"South of Berry Summit, west of Willow Creek",-123.773779,False,Red Fire,100.0,151.5,True,"The Red Fire started on January 4, 2014 and burned 333 acres south of Berry Summit, west of Willow Creek in Humboldt County.",2014-01-04T12:00:00Z,6.0,7.0,0.0,45.0,4.0,12.625,4.0,0.6557377049180327
